Date,Prix,Variation 24h
2014-04-27,1 BTC = 337.72000000€,-6.4%
2014-04-28,1 BTC = 331.96000000€,-1.74%
2014-04-29,1 BTC = 319.10000000€,-4.03%
2014-04-30,1 BTC = 319.60000000€,0.16%
2014-05-01,1 BTC = 322.34000000€,0.85%
2014-05-02,1 BTC = 324.54000000€,0.68%
2014-05-03,1 BTC = 332.38000000€,2.36%
2014-05-04,1 BTC = 326.36000000€,-1.84%
2014-05-05,1 BTC = 316.09000000€,-3.25%
2014-05-06,1 BTC = 315.18000000€,-0.29%
2014-05-07,1 BTC = 311.73000000€,-1.11%
2014-05-08,1 BTC = 310.39000000€,-0.43%
2014-05-09,1 BTC = 318.25000000€,2.47%
2014-05-10,1 BTC = 319.20000000€,0.3%
2014-05-11,1 BTC = 327.29000000€,2.47%
2014-05-12,1 BTC = 328.95000000€,0.5%
2014-05-13,1 BTC = 319.06000000€,-3.1%
2014-05-14,1 BTC = 320.34000000€,0.4%
2014-05-15,1 BTC = 320.00000000€,-0.11%
2014-05-16,1 BTC = 324.69000000€,1.44%
2014-05-17,1 BTC = 327.55000000€,0.87%
2014-05-18,1 BTC = 327.82000000€,0.08%
2014-05-19,1 BTC = 329.19000000€,0.42%
2014-05-20,1 BTC = 325.29000000€,-1.2%
2014-05-21,1 BTC = 325.78000000€,0.15%
2014-05-22,1 BTC = 354.09000000€,8%
2014-05-23,1 BTC = 358.95000000€,1.35%
2014-05-24,1 BTC = 381.03000000€,5.79%
2014-05-25,1 BTC = 382.72000000€,0.44%
2014-05-26,1 BTC = 385.70000000€,0.77%
2014-05-27,1 BTC = 418.97000000€,7.94%
2014-05-28,1 BTC = 426.03000000€,1.66%
2014-05-29,1 BTC = 421.19000000€,-1.15%
2014-05-30,1 BTC = 422.29000000€,0.26%
2014-05-31,1 BTC = 417.76000000€,-1.08%
2014-06-01,1 BTC = 451.36000000€,7.44%
2014-06-02,1 BTC = 456.74000000€,1.18%
2014-06-03,1 BTC = 464.27000000€,1.62%
2014-06-04,1 BTC = 481.23000000€,3.52%
2014-06-05,1 BTC = 491.99000000€,2.19%
2014-06-06,1 BTC = 476.13000000€,-3.33%
2014-06-07,1 BTC = 487.33000000€,2.3%
2014-06-08,1 BTC = 480.69000000€,-1.38%
2014-06-09,1 BTC = 480.76000000€,0.01%
2014-06-10,1 BTC = 480.63000000€,-0.03%
2014-06-11,1 BTC = 475.19000000€,-1.14%
2014-06-12,1 BTC = 477.90000000€,0.57%
2014-06-13,1 BTC = 463.14000000€,-3.19%
2014-06-14,1 BTC = 420.97000000€,-10.02%
2014-06-15,1 BTC = 436.01000000€,3.45%
2014-06-16,1 BTC = 419.62000000€,-3.91%
2014-06-17,1 BTC = 432.51000000€,2.98%
2014-06-18,1 BTC = 439.42000000€,1.57%
2014-06-19,1 BTC = 446.32000000€,1.55%
2014-06-20,1 BTC = 446.48000000€,0.04%
2014-06-21,1 BTC = 438.55000000€,-1.81%
2014-06-22,1 BTC = 437.19000000€,-0.31%
2014-06-23,1 BTC = 438.04000000€,0.19%
2014-06-24,1 BTC = 448.14000000€,2.25%
2014-06-25,1 BTC = 431.94000000€,-3.75%
2014-06-26,1 BTC = 426.56000000€,-1.26%
2014-06-27,1 BTC = 412.46000000€,-3.42%
2014-06-28,1 BTC = 425.66000000€,3.1%
2014-06-29,1 BTC = 437.22000000€,2.64%
2014-06-30,1 BTC = 437.10000000€,-0.03%
2014-07-01,1 BTC = 438.91000000€,0.41%
2014-07-02,1 BTC = 463.96000000€,5.4%
2014-07-03,1 BTC = 467.41000000€,0.74%
2014-07-04,1 BTC = 472.51000000€,1.08%
2014-07-05,1 BTC = 467.91000000€,-0.98%
2014-07-06,1 BTC = 463.17000000€,-1.02%
2014-07-07,1 BTC = 461.95000000€,-0.26%
